Número de operación,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Comisión USD,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
13,Entrada en largo,2016-11-16 09:30,Long Fade,115.45,21,2424.45,16.48,0.68,2,50.03,2.06,-5.62,-0.23,-151.95,-1.52,12
14,Salida en largo,2017-03-27 15:30,Cierre EOD,140.32,17,2377.96,5.48,0.23,2,12.09,0.51,-3.72,-0.16,-146.47,-1.46,12
14,Entrada en largo,2017-03-27 09:30,Long Fade,139.88,17,2377.96,5.48,0.23,2,12.09,0.51,-3.72,-0.16,-146.47,-1.46,12
15,Salida en largo,2017-05-04 15:30,Cierre EOD,150.85,16,2383.52,28.08,1.18,2,39.64,1.66,-1.48,-0.06,-118.39,-1.18,12
15,Entrada en largo,2017-05-04 09:30,Long Fade,148.97,16,2383.52,28.08,1.18,2,39.64,1.66,-1.48,-0.06,-118.39,-1.18,12
16,Salida en largo,2017-05-17 15:30,Cierre EOD,144.8,16,2362.4,-47.6,-2.01,2,9.72,0.41,-52.52,-2.22,-165.99,-1.66,12
16,Entrada en largo,2017-05-17 09:30,Long Fade,147.65,16,2362.4,-47.6,-2.01,2,9.72,0.41,-52.52,-2.22,-165.99,-1.66,12
17,Salida en largo,2017-06-12 15:30,Cierre EOD,148.42,16,2324.8,47.92,2.06,2,61.24,2.63,-6.44,-0.28,-118.07,-1.18,12
17,Entrada en largo,2017-06-12 09:30,Long Fade,145.3,16,2324.8,47.92,2.06,2,61.24,2.63,-6.44,-0.28,-118.07,-1.18,12
18,Salida en largo,2017-06-15 15:30,Cierre EOD,149.79,16,2360.8,33.84,1.43,2,38.68,1.64,-19.72,-0.83,-84.23,-0.84,12
